WKT,name,description
"POINT (106.2463837 -6.3600463)",Kabupaten Lebak,
"POINT (106.1065409 -6.3097349)",Kabupaten Pandeglang,
"POINT (106.151803 -6.1171203)",Kota Serang,
"POINT (106.2340437 -6.1262457)",Kabupaten Serang,
"POINT (106.48533 -6.2743628)",Kabupaten Tangerang,
"POINT (106.0397286 -6.009672)",Kota Cilegon,
"POINT (106.6404088 -6.1707434)",Kota Tangerang,
"POINT (106.7081217 -6.3226265)",Kota Tangerang Selatan,
