WKT,name,description
"POINT (110.3272172 -7.8862004)",Kabupaten Bantul,
"POINT (110.6004144 -7.9679495)",Kabupaten Gunungkidul,
"POINT (110.1454589 -7.8956361)",Kabupaten Kulon Progo,
"POINT (110.3380028 -7.7197637)",Kabupaten Sleman,
"POINT (110.3641667 -7.8053745)",Kota Yogyakarta,
