WKT,name,description
"POINT (106.9440076 -6.2139202)",Jakarta Timur,
"POINT (106.7376317 -6.1858581)",Kantor Walikota Jakarta Barat,
"POINT (106.7376328 -6.185997)",Jakarta Barat,
"POINT (106.8075084 -6.2480836)",Jakarta Selatan,
"POINT (106.8923002 -6.1203095)",Jakarta Utara,
"POINT (106.5781717 -5.6540867)",Kepulauan Seribu,
